job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,posted_on,
SPE/SME/Team Lead - Medical Scribe/Transcriber,Golden Opportunities,4.1,16 Reviews,2-7 Yrs,Not disclosed,"Kochi/Cochin, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru",Candidates should be flexible with night shifts. Exp : 2 - 15 Years. Candidate should T...,"Medical Scribe
health
scribe
medical
transcription
medical terminology
team leading
medical transcription",6 Days Ago,
BI Solution Engineer,Impetus Technologies,3.9,267 Reviews,5-10 Yrs,Not disclosed,"Mumbai (All Areas), Indore, Pune, Bangalore/Bengaluru, Delhi / NCR",Good communication skills to interact with customersExperience in any of the reporting ...,"SQL Development
t-sql
oracle pl
oracle
sql
tsql queries
plsql development
bi",23 Days Ago,
Immediate requirement For Data Engineer @Infogain,Infogain,3.7,644 Reviews,4-9 Yrs,Not disclosed,Permanent Remote,Experience working in Agile / Scrum/Kanban team environments We are having Immediate re...,"SQL
oracle adf
data engineering
requirements
pyspark
factory
data
bricks",24 Days Ago,
React JS Developer,Intelliswift,4,158 Reviews,8-13 Yrs,15-25 Lacs PA,"Temp. WFH - Mumbai (All Areas), Pune, Bangalore/Bengaluru",Role : React.JS DeveloperExperience : 6 to 12 Years Experience should be 6+ Years.Exper...,"development
microsoft azure
javascript
react.js
Azure",24 Days Ago,
Hybris Developer,Infogain,3.7,644 Reviews,4-8 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Pune, Bangalore/Bengaluru, Delhi / NCR",Experience with B2C Hybris accelerator implementing all modules of eCommerce (Product I...,"Hybris
hybris development
management
back office
order management
office
order fulfillment
development",Women candidates preferred,
Senior IICS Developer,Xoriant,4.2,1055 Reviews,5-10 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Kochi/Cochin, Pune, Ahmedabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Role: Senior IICS DeveloperExp.: 5+ yearsCompetenciesAt least 4-8 years of experience w...,"Iics
Powercenter
Shell Scripting
PLSQL
Informatica Powercenter
scripting
sql
microsoft azure",26 Days Ago,
ETL Test Engineer,Infogain,3.7,644 Reviews,6-11 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR",Roles and Responsibilities . . 6 + years of industry experience as an ETL / BI tester ....,"Database Testing
DWH Testing
ETL Tool
ETL Testing
sql
tools
software testing
etl",28 Days Ago,
Infogain Hiring | BI & Visualization Architect,Infogain,3.7,644 Reviews,15-19 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Noida, Pune, Bangalore/Bengaluru","Overall 15+ years of experience in Data Engineering, Power BI, tools such as Informatic...","Azure Data Factory
Power Bi
informatica
data
microsoft azure
factory
data bricks
architecture",28 Days Ago,
Urgent Hiring | Data Analyst with GCP experience,Infogain,3.7,644 Reviews,2-7 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Noida, Pune, Bangalore/Bengaluru",Must have good knowledge of statistics and be able to write SQL queries to validate dat...,"Power Bi
SQL
etl
gcp
bi
hiring
data analysis
data",29 Days Ago,
Full stack with Azure spring cloud,Intelliswift,4,158 Reviews,8-12 Yrs,20-30 Lacs PA,"Temp. WFH - Mumbai (All Areas), Pune, Bangalore/Bengaluru",Flexible to work in shift for L2 / L3 support Proficient with API and Microservices dev...,"Java
SUPPORT
azure spring cloud
API
fullstack
microservices
spring
full stack",29 Days Ago,
Analyst,K12 Techno Services Pvt. Ltd.,3.2,533 Reviews,0-3 Yrs,Not disclosed,"Mumbai (All Areas), Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Maintain log and manage multiple projects based on prioritization. Proficiency in Micro...,"Google Sheets
Advanced Excel
Microsoft excel
data
excel
application
collections
ms office",2 Days Ago,
Dot Net core Lead Developer - Trigyn Technologies Ltd,Trigyn Technologies,3.9,112 Reviews,7-12 Yrs,Not disclosed,"Mumbai (All Areas), Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Experience in resolving their issues, providing technical support to the team, mentorin...","SQL Server
JQuery
dot
.net core
c#
dotnet azure
sql
core",30 Days Ago,
Immediate opening For Azure Data Engineer/lead in Infogain India,Infogain,3.7,644 Reviews,6-11 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Noida, Pune, Bangalore/Bengaluru","Secondary skills- Synapse, PYSpark, Databricks, Data Lake Store, PySpark, Apache Spark....","Azure Data Factory
Azure
Azure Databricks
databricks
SQL
data bricks
factory
oracle adf",20 Days Ago,
